256,256, 7.035143e-05,3.516817e-06,6776, 6.686005e-05,3.342663e-06,7007, 1.605884e+00
512,512, 1.687331e-04,8.435632e-06,3781, 2.975744e-04,1.487594e-05,2591, 1.663635e+00
768,768, 3.687937e-04,1.843316e-05,2246, 5.655965e-04,2.827862e-05,1689, 2.331628e+00
1024,1024, 6.551990e-04,3.273373e-05,1532, 1.003653e-03,5.016254e-05,1153, 2.779143e+00
1280,1280, 1.011763e-03,5.055262e-05,1147, 1.632842e-03,8.159649e-05,834, 3.142712e+00
1536,1536, 1.452803e-03,7.252786e-05,902, 2.333142e-03,1.165233e-04,658, 3.547331e+00
1792,1792, 1.968349e-03,9.825450e-05,737, 3.153022e-03,1.572888e-04,539, 3.936269e+00
2048,2048, 2.564853e-03,1.280334e-04,618, 4.110467e-03,2.049662e-04,452, 4.297765e+00
2304,2304, 3.245505e-03,1.622262e-04,528, 5.182961e-03,2.589274e-04,387, 4.670396e+00
2560,2560, 4.002761e-03,1.996207e-04,460, 6.376184e-03,3.174908e-04,338, 5.023454e+00
2816,2816, 4.839323e-03,2.417939e-04,405, 7.691084e-03,3.838571e-04,298, 5.350086e+00
3072,3072, 5.754908e-03,2.875135e-04,361, 9.127681e-03,4.555760e-04,266, 5.675434e+00
3328,3328, 6.758049e-03,3.368149e-04,325, 1.067165e-02,5.320606e-04,240, 6.024634e+00
3584,3584, 7.834211e-03,3.897504e-04,295, 1.233849e-02,6.151801e-04,218, 6.341059e+00
3840,3840, 8.987454e-03,4.479291e-04,269, 1.405057e-02,7.007324e-04,200, 6.667564e+00
4096,4096, 1.021895e-02,5.094644e-04,247, 1.581909e-02,7.863722e-04,186, 7.075005e+00
4608,4608, 1.293905e-02,6.462609e-04,211, 2.005661e-02,1.000932e-03,158, 7.580906e+00
5120,5120, 1.596009e-02,7.948462e-04,184, 2.467909e-02,1.228765e-03,138, 8.162212e+00
5632,5632, 1.932176e-02,9.637375e-04,162, 2.989170e-02,1.485784e-03,122, 8.729866e+00
6144,6144, 2.297799e-02,1.139957e-03,145, 3.545115e-02,1.758107e-03,109, 9.278672e+00
6656,6656, 2.698027e-02,1.345261e-03,130, 4.152745e-02,2.067128e-03,98, 9.793970e+00
7168,7168, 3.127302e-02,1.558364e-03,118, 4.782834e-02,2.353644e-03,90, 1.039296e+01
7680,7680, 3.591293e-02,1.782916e-03,108, 5.486332e-02,2.713100e-03,82, 1.089830e+01
8192,8192, 4.084445e-02,2.035385e-03,99, 6.254742e-02,3.109793e-03,75, 1.133525e+01
9216,9216, 5.169130e-02,2.568172e-03,85, 7.900825e-02,3.872675e-03,65, 1.239651e+01
10240,10240, 6.381753e-02,3.174330e-03,74, 9.711324e-02,4.739729e-03,57, 1.339893e+01
11264,11264, 7.721751e-02,3.782936e-03,66, 1.173553e-01,5.802490e-03,50, 1.430928e+01
12288,12288, 9.189278e-02,4.494515e-03,59, 1.396458e-01,6.831750e-03,45, 1.528947e+01
13312,13312, 1.078432e-01,5.302702e-03,53, 1.625366e-01,7.896219e-03,41, 1.629653e+01
14336,14336, 1.250713e-01,6.181012e-03,48, 1.891020e-01,9.269310e-03,37, 1.706552e+01
15360,15360, 1.435752e-01,7.074441e-03,44, 2.163705e-01,1.058367e-02,34, 1.799925e+01
16384,16384, 1.633512e-01,7.896190e-03,41, 2.450736e-01,1.224174e-02,31, 1.883428e+01
18432,18432, 2.067422e-01,1.011264e-02,35, 3.096894e-01,1.523958e-02,27, 2.062138e+01
20480,20480, 2.552388e-01,1.224145e-02,31, 3.814997e-01,1.839788e-02,24, 2.261198e+01
22528,22528, 3.088483e-01,1.523955e-02,27, 4.596011e-01,2.282455e-02,21, 2.392447e+01
24576,24576, 3.675591e-01,1.723218e-02,25, 5.441347e-01,2.687121e-02,19, 2.599920e+01
26624,26624, 4.313738e-01,2.116689e-02,22, 6.342070e-01,2.936597e-02,18, 2.822281e+01
28672,28672, 5.002902e-01,2.470971e-02,20, 7.306153e-01,3.569489e-02,16, 2.935905e+01
30720,30720, 5.742792e-01,2.687037e-02,19, 8.344955e-01,3.977441e-02,15, 3.177324e+01
32768,32768, 6.534630e-01,3.227444e-02,17, 9.447702e-01,4.465360e-02,14, 3.329781e+01
